feature,importance_mean,importance_std
A4_Score,0.029245421245421285,0.01314314299287725
A6_Score,0.018139194139194167,0.009611498255244542
A9_Score,0.012586080586080624,0.007248068939220299
country_of_residence,0.009186813186813221,0.005568555949298132
ethnicity,0.008717948717948731,0.005342764273631362
A3_Score,0.007663003663003694,0.0071037494264511655
A7_Score,0.0073406593406593465,0.007952805282571467
A8_Score,0.007326007326007363,0.005160338884058699
A10_Score,0.006505494505494539,0.003955067034444656
A5_Score,0.005098901098901117,0.004519285602615554
family_asd_history,0.004102564102564117,0.005445742099911118
gender,0.001684981684981705,0.0018960069293546707
age,0.0015970695970696188,0.0011263006617422693
A2_Score,0.0011428571428571824,0.004279191053191934
jaundice,0.0010989010989011171,0.002709038245948007
A1_Score,0.00032234432234434784,0.005214470662455153
used_app_before,-0.0016263736263736118,0.0016953970184577162
relation,-0.0027545787545787035,0.001058196048953428
